ID,Name,Age,Gender,Admission Test Score,High School Percentage,City,Admission Status
36,Ayesha,24.0,Male,94.0,98.43,Multan,Rejected
76,Sajjad,,,90.0,63.04,Quetta,Accepted
22,Kamran,18.0,Male,53.0,98.98,Multan,Rejected
132,Maaz,20.0,Male,58.0,96.83,Peshawar,Accepted
140,Feroze,23.0,Female,51.0,92.36,Rawalpindi,Accepted
11,Nashit,18.0,Male,89.0,,Lahore,Accepted
79,Muneera,19.0,Female,81.0,67.75,Karachi,Rejected
68,Maryam,22.0,Female,,69.83,Karachi,Rejected
149,,21.0,,86.0,95.38,Quetta,Accepted
27,Anum,20.0,Female,96.0,62.44,Quetta,Rejected
86,Uzma,22.0,Male,69.0,83.99,Quetta,Accepted
118,Lubna,22.0,Male,74.0,90.56,Rawalpindi,Accepted
41,Feroze,22.0,Female,50.0,88.36,Quetta,Rejected
4,Bilal,20.0,Male,65.0,61.13,Lahore,
32,Zara,24.0,Female,65.0,91.14,Multan,Rejected
60,Rohail,19.0,Female,54.0,52.79,Quetta,Accepted
101,Shehroz,24.0,Male,72.0,90.05,Karachi,Accepted
66,Hassan,24.0,Female,79.0,75.67,,
16,Mahnoor,,Male,61.0,74.08,Islamabad,Rejected
122,Tuba,17.0,Female,75.0,78.43,Peshawar,Accepted
10,Shafiq,17.0,Male,78.0,-10.0,Quetta,Rejected
90,Maryam,17.0,Male,78.0,77.4,Quetta,Accepted
144,Sana,21.0,Female,53.0,,Rawalpindi,Rejected
0,Shehroz,24.0,Female,50.0,68.9,Quetta,Rejected
112,Tariq,17.0,Female,82.0,67.09,Peshawar,Accepted
64,Shoaib,23.0,Male,97.0,54.71,Karachi,Rejected
44,Maham,19.0,Female,52.0,78.67,Multan,Accepted
82,Muzammil,24.0,Female,97.0,62.68,Lahore,Accepted
28,Bushra,17.0,Male,89.0,78.57,Islamabad,Accepted
40,Rohail,23.0,,78.0,75.05,Quetta,
153,Bilal,17.0,Female,81.0,84.4,Islamabad,Rejected
25,Shayan,18.0,Male,,,Lahore,Rejected
23,Aliya,-1.0,Male,101.0,54.59,,
110,Hamza,22.0,Male,99.0,86.58,Multan,Accepted
39,Aliya,23.0,Male,50.0,85.25,Rawalpindi,Accepted
85,Maham,22.0,Female,88.0,98.38,Peshawar,Rejected
123,Bushra,18.0,Female,93.0,99.8,Islamabad,Rejected
152,Ali,19.0,Female,85.0,78.09,Quetta,Accepted
131,Shafiq,17.0,Male,78.0,82.49,Quetta,Rejected
47,Maryam,19.0,Female,74.0,110.5,Lahore,Accepted
113,Zunaira,-1.0,Female,84.0,58.77,Quetta,Rejected
61,Hamza,22.0,Male,99.0,86.58,Multan,Accepted
73,Shafiq,18.0,,80.0,81.3,Quetta,Accepted
33,Fatima,24.0,Female,66.0,74.8,Peshawar,Rejected
104,Sara,22.0,,95.0,60.33,Islamabad,Rejected
117,Daniyal,24.0,Female,77.0,67.32,Quetta,Rejected
62,Fahad,23.0,Male,93.0,90.35,Peshawar,Accepted
93,Rehan,22.0,Male,51.0,67.03,Lahore,Rejected
96,Muneera,19.0,Female,,67.75,Karachi,Rejected
53,Afshan,23.0,,98.0,76.97,,Rejected
5,Murtaza,23.0,Female,,,Islamabad,Accepted
109,Mehwish,18.0,Female,72.0,67.51,,Accepted
146,Nimra,17.0,Female,68.0,61.66,,Rejected
49,Zara,18.0,Female,68.0,65.57,Karachi,Rejected
35,Feroze,23.0,Female,51.0,92.36,,Accepted
80,Mehwish,18.0,Female,72.0,67.51,Quetta,Accepted
77,Tuba,18.0,Female,89.0,71.3,Karachi,Accepted
34,Shayan,24.0,Male,58.0,85.41,Multan,Rejected
46,Mehwish,24.0,Female,84.0,94.33,Multan,Accepted
7,Rabia,20.0,Female,82.0,55.67,Lahore,Accepted
43,Waqar,21.0,Female,99.0,60.73,Karachi,Accepted
70,Hafsa,17.0,Male,73.0,63.7,Rawalpindi,Accepted
114,Qasim,17.0,,92.0,51.96,Lahore,Accepted
91,Umar,22.0,Male,150.0,77.69,,Rejected
83,Muzammil,20.0,Male,96.0,51.95,Peshawar,Rejected
141,Laiba,21.0,Female,76.0,,Karachi,Rejected
142,Sana,22.0,Female,91.0,84.08,Quetta,Rejected
89,,-1.0,Male,66.0,79.07,Rawalpindi,Rejected
8,Rohail,17.0,Male,64.0,,Karachi,Accepted
13,Ahmed,21.0,Male,62.0,79.03,Karachi,Accepted
59,Bilal,23.0,Female,97.0,70.9,Peshawar,Rejected
134,Shahzad,24.0,Female,74.0,74.13,Multan,Rejected
3,Aliya,17.0,Male,55.0,85.29,Karachi,Rejected
17,Uzma,17.0,Female,96.0,93.34,Karachi,Rejected
38,Ali,17.0,,74.0,56.38,Rawalpindi,Rejected
72,,21.0,Male,95.0,84.2,Islamabad,
137,Asad,21.0,Male,,97.21,Karachi,Rejected
6,Asad,18.0,Male,,97.31,Multan,Accepted
143,Zarina,19.0,Female,81.0,71.72,Quetta,Rejected
100,Farhan,22.0,Female,65.0,76.72,Multan,Rejected
2,Bushra,17.0,Male,89.0,,Islamabad,Accepted
120,Ayesha,24.0,Male,94.0,98.43,Multan,Rejected
63,Farhan,20.0,Female,75.0,79.59,Rawalpindi,Accepted
115,Maham,23.0,Male,94.0,87.05,Karachi,Rejected
54,Shehroz,22.0,Female,72.0,97.84,Lahore,Rejected
107,Zunaira,20.0,Female,98.0,54.59,Quetta,Accepted
50,Shehroz,-1.0,Female,61.0,69.48,Quetta,Rejected
154,Fatima,21.0,Female,98.0,50.86,Multan,Accepted
58,Adeel,20.0,Female,70.0,93.36,Lahore,Accepted
48,Rohail,23.0,Female,,75.05,Quetta,Accepted
88,Aliya,17.0,Male,55.0,85.29,Karachi,Rejected
21,Fatima,,Female,79.0,73.23,Quetta,Rejected
57,Hafsa,23.0,Female,79.0,52.39,,Accepted
151,Asad,20.0,Female,95.0,52.4,Rawalpindi,Rejected
129,Aliya,19.0,Male,79.0,91.85,Islamabad,Rejected
37,Lubna,21.0,Female,89.0,82.57,Multan,Rejected
147,Hammad,24.0,Female,71.0,83.84,Lahore,Accepted
1,Waqar,21.0,Female,99.0,60.73,Karachi,
52,Ahmed,21.0,Male,62.0,79.03,Karachi,Accepted
130,Asad,20.0,Female,51.0,,Peshawar,Rejected
103,Tariq,19.0,Female,96.0,40.7,Rawalpindi,Rejected
99,Imran,19.0,Female,72.0,64.88,Multan,Accepted
116,Aqsa,23.0,Female,,86.5,Quetta,Accepted
87,Laiba,,Female,81.0,81.82,Rawalpindi,Accepted
74,Afshan,23.0,Female,98.0,,Peshawar,Rejected
121,Muneera,23.0,Male,77.0,57.93,Karachi,Rejected
156,Maaz,17.0,Male,88.0,86.85,Lahore,Accepted
20,Waqar,22.0,Male,77.0,94.02,Peshawar,Rejected
71,Laiba,20.0,Male,77.0,52.67,Islamabad,Rejected
106,Mehwish,21.0,Female,91.0,57.33,Rawalpindi,Accepted
14,Fareeha,22.0,Male,86.0,50.77,Islamabad,Rejected
92,,20.0,Female,86.0,89.06,Karachi,Accepted
102,Asma,22.0,Female,81.0,68.86,Islamabad,Accepted
139,Shehroz,19.0,Male,,56.43,Rawalpindi,
12,,19.0,Male,66.0,88.17,,
51,Fatima,20.0,Male,73.0,62.5,Karachi,
67,Khurram,17.0,Male,,0.0,Rawalpindi,
